EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
0,4,285,21500284,Beal REBOUND (Off:2 Def:4),,8:29,3,4,0,0,203078,Bradley Beal,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,,8:27 PM
1,1,286,21500284,Beal 24' 3PT Jump Shot (15 PTS),,8:14,3,4,0,0,203078,Bradley Beal,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,62 - 58,-4,,8:27 PM
1,5,287,21500284,Beal STEAL (2 STL),,8:02,3,5,4,0,202720,Jon Leuer,PHX,Phoenix,1610612756,Suns,203078,Bradley Beal,WAS,Washington,1610612764,Wizards,0,,,,,,,,Leuer Bad Pass Turnover (P1.T13),8:28 PM
50,1,288,21500284,Beal  Running Dunk (17 PTS),,7:55,3,4,0,0,203078,Bradley Beal,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,62 - 60,-2,,8:28 PM
1,6,289,21500284,Hollins P.FOUL (P2.T1) (M.McCutchen),,7:45,3,4,5,1,200797,Ryan Hollins,WAS,Washington,1610612764,Wizards,202688,Brandon Knight,PHX,Phoenix,1610612756,Suns,0,,,,,,,,,8:28 PM
5,1,290,21500284,,,7:38,3,5,5,0,202688,Brandon Knight,PHX,Phoenix,1610612756,Suns,202720,Jon Leuer,PHX,Phoenix,1610612756,Suns,0,,,,,,64 - 60,-4,Knight 3' Layup (15 PTS) (Leuer 1 AST),8:28 PM
8,5,291,21500284,Hollins 3 Second Violation Turnover (P2.T13),,7:24,3,4,0,1,200797,Ryan Hollins,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,,8:29 PM
1,2,292,21500284,,,7:14,3,5,0,0,202688,Brandon Knight,PHX,Phoenix,1610612756,Suns,0,,,,,,0,,,,,,,,MISS Knight 27' 3PT Jump Shot,8:29 PM
0,4,293,21500284,,,7:08,3,5,0,0,202339,Eric Bledsoe,PHX,Phoenix,1610612756,Suns,0,,,,,,0,,,,,,,,Bledsoe REBOUND (Off:2 Def:1),8:29 PM
5,2,294,21500284,,,6:59,3,5,0,0,200782,PJ Tucker,PHX,Phoenix,1610612756,Suns,0,,,,,,0,,,,,,,,MISS Tucker 3' Layup,8:29 PM
0,4,295,21500284,Wall REBOUND (Off:1 Def:3),,6:58,3,4,0,0,202322,John Wall,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,,8:29 PM
1,1,296,21500284,Temple 25' 3PT Jump Shot (5 PTS) (Wall 5 AST),,6:52,3,4,4,0,202066,Garrett Temple,WAS,Washington,1610612764,Wizards,202322,John Wall,WAS,Washington,1610612764,Wizards,0,,,,,,64 - 63,-1,,8:29 PM
2,6,297,21500284,Beal S.FOUL (P2.T2) (N.Buchert),,6:35,3,4,5,1,203078,Bradley Beal,WAS,Washington,1610612764,Wizards,200782,PJ Tucker,PHX,Phoenix,1610612756,Suns,0,,,,,,,,,8:30 PM
13,3,298,21500284,,,6:35,3,5,0,0,200782,PJ Tucker,PHX,Phoenix,1610612756,Suns,0,,,,,,0,,,,,,65 - 63,-2,Tucker Free Throw 1 of 3 (6 PTS),8:30 PM
14,3,300,21500284,,,6:35,3,5,0,0,200782,PJ Tucker,PHX,Phoenix,1610612756,Suns,0,,,,,,0,,,,,,,,MISS Tucker Free Throw 2 of 3,8:30 PM
1,4,301,21500284,,,6:35,3,3,0,0,1610612756,,,,,,0,,,,,,0,,,,,,,,Suns Rebound,8:30 PM
0,8,302,21500284,SUB: Blair FOR Hollins,,6:35,3,4,4,0,200797,Ryan Hollins,WAS,Washington,1610612764,Wizards,201971,DeJuan Blair,WAS,Washington,1610612764,Wizards,0,,,,,,,,,8:30 PM
15,3,303,21500284,,,6:35,3,5,0,0,200782,PJ Tucker,PHX,Phoenix,1610612756,Suns,0,,,,,,0,,,,,,66 - 63,-3,Tucker Free Throw 3 of 3 (7 PTS),8:31 PM
1,2,305,21500284,MISS Beal 26' 3PT Jump Shot,,6:24,3,4,0,5,203078,Bradley Beal,WAS,Washington,1610612764,Wizards,0,,,,,,202688,Brandon Knight,PHX,Phoenix,1610612756,Suns,,,Knight BLOCK (1 BLK),8:31 PM
0,4,306,21500284,WIZARDS Rebound,,6:24,3,2,0,0,1610612764,,,,,,0,,,,,,0,,,,,,,,,8:31 PM
1,2,308,21500284,MISS Temple 25' 3PT Jump Shot,,6:13,3,4,0,0,202066,Garrett Temple,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,,8:32 PM
0,4,309,21500284,Porter Jr. REBOUND (Off:5 Def:1),,6:12,3,4,0,0,203490,Otto Porter,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,,8:32 PM
11,5,310,21500284,WIZARDS Turnover: Shot Clock (T#14),,6:07,3,2,0,1,1610612764,,,,,,0,,,,,,0,,,,,,,,,8:32 PM
0,18,328,21500284,,,6:07,3,,0,1,310,Bobby Hurley,,,,,0,,,,,,0,,,,,,,,,8:32 PM
1,6,311,21500284,Porter Jr. P.FOUL (P2.T3) (N.Buchert),,5:54,3,4,5,1,203490,Otto Porter,WAS,Washington,1610612764,Wizards,202720,Jon Leuer,PHX,Phoenix,1610612756,Suns,0,,,,,,,,,8:32 PM
0,8,312,21500284,SUB: Sessions FOR Temple,,5:54,3,4,4,0,202066,Garrett Temple,WAS,Washington,1610612764,Wizards,201196,Ramon Sessions,WAS,Washington,1610612764,Wizards,0,,,,,,,,,8:32 PM
1,1,313,21500284,,,5:50,3,5,0,0,202339,Eric Bledsoe,PHX,Phoenix,1610612756,Suns,0,,,,,,0,,,,,,68 - 63,-5,Bledsoe 17' Jump Shot (11 PTS),8:32 PM
1,1,314,21500284,Beal 16' Jump Shot (19 PTS),,5:34,3,4,0,0,203078,Bradley Beal,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,68 - 65,-3,,8:33 PM
1,1,315,21500284,,,5:19,3,5,5,0,202688,Brandon Knight,PHX,Phoenix,1610612756,Suns,202339,Eric Bledsoe,PHX,Phoenix,1610612756,Suns,0,,,,,,71 - 65,-6,Knight 28' 3PT Jump Shot (18 PTS) (Bledsoe 7 AST),8:33 PM
